"employee_id";"salary_id";"name";"department"
"56";"56";"Lorena Braga";"Jóias"
"57";"57";"Henrique Moraes";"Saúde"
"58";"58";"Lara Souza";"Industrial"
"59";"59";"Miguel Braga";"Beleza"
"60";"60";"Yasmin Souza";"Mercearia"
"61";"61";"Bruna Santos";"Mercearia"
"62";"62";"Cecília Barros";"Crianças"
"63";"63";"Heloísa Melo";"Casa"
"64";"64";"Marli Moraes";"Turismo"
"65";"65";"Murilo Martins";"Bebê"
"66";"66";"Larissa Franco";"Esportes"
"67";"67";"Yasmin Oliveira";"Jóias"
"68";"68";"Dr. Heitor Santos";"Bebê"
"69";"69";"Nicolas Franco";"Turismo"
"70";"70";"Henrique Franco";"Mercearia"
"71";"71";"Antônio Franco";"Esportes"
"72";"72";"Deneval Moreira";"Mercearia"
"73";"73";"Matheus Saraiva";"Música"
"74";"74";"Paula Oliveira";"Industrial"
"75";"75";"Joana Nogueira";"Computadores"
"76";"76";"Maria Eduarda Oliveira";"Computadores"
"77";"77";"Bernardo Moreira";"Jogos"
"78";"78";"Júlio Reis";"Eletrônicos"
"79";"79";"Sr. Vicente Silva";"Bebê"
"80";"80";"Sophia Moraes";"Beleza"
"81";"81";"Lavínia Moreira";"Crianças"
"82";"82";"Srta. Alice Silva";"Automotivo"
"83";"83";"Davi Melo";"Automotivo"
"84";"84";"Félix Silva";"Esportes"
"85";"85";"Lorena Oliveira";"Roupas"
"86";"86";"César Souza";"Industrial"
"87";"87";"Rafaela Moraes";"Sapatos"
"88";"88";"Pablo Souza";"Turismo"
"89";"89";"Davi Souza";"Filmes"
"90";"90";"Júlia Souza";"Ferramentas"
"91";"91";"Cauã Saraiva";"Bebê"
"92";"92";"Sra. Vitória Melo";"Brinquedos"
"93";"93";"Sr. Carlos Nogueira";"Crianças"
"94";"94";"Gustavo Xavier";"Crianças"
"95";"95";"Carla Martins";"Jogos"
"96";"96";"Daniel Batista";"Industrial"
"97";"97";"Giovanna Martins Filho";"Sapatos"
"98";"98";"Carla Braga";"Livros"
"99";"99";"Maria Clara Melo";"Turismo"
"100";"100";"Lara Moreira";"Automotivo"
"101";"101";"Joaquim Santos";"Jogos"
"102";"102";"Pietro Batista Jr.";"Roupas"
"103";"103";"Isabel Reis";"Música"
"104";"104";"Calebe Costa";"Jogos"
"105";"105";"Ana Júlia Silva";"Jardim"
"106";"106";"Norberto Barros";"Saúde"
"107";"107";"Enzo Franco Filho";"Crianças"
"108";"108";"Sara Melo";"Roupas"
"109";"109";"Pietro Carvalho";"Crianças"
"110";"110";"Nataniel Saraiva";"Esportes"
"111";"111";"Ana Clara Batista";"Industrial"
"112";"112";"Marcelo Melo";"Filmes"
"113";"113";"João Miguel Souza";"Eletrônicos"
"114";"114";"Júlia Santos";"Jogos"
"115";"115";"Maria Luiza Reis";"Livros"
"116";"116";"Pablo Xavier Neto";"Esportes"
"117";"117";"Mércia Braga";"Livros"
"118";"118";"Clara Souza Filho";"Sapatos"
"119";"119";"Ofélia Pereira";"Computadores"
"120";"120";"Isaac Martins";"Música"
"121";"121";"Antônio Oliveira";"Industrial"
"122";"122";"Ana Luiza Moreira";"Roupas"
"123";"123";"Sra. Maria Helena Albuquerque";"Jogos"
"124";"124";"Pablo Costa";"Esportes"
"125";"125";"Sra. Mércia Nogueira";"Música"
"126";"126";"Lucas Batista Filho";"Beleza"
"127";"127";"Júlio César Souza";"Bebê"
"128";"128";"Dr. Anthony Franco";"Turismo"
"129";"129";"Eduarda Moraes";"Automotivo"
"130";"130";"Núbia Souza";"Eletrônicos"
"131";"131";"Márcia Saraiva";"Industrial"
"132";"132";"Mércia Souza";"Bebê"
"133";"133";"Marli Oliveira";"Filmes"
"134";"134";"Sr. Benjamin Oliveira";"Filmes"
"135";"135";"Clara Souza";"Jardim"
"136";"136";"Nicolas Costa";"Livros"
"137";"137";"Vicente Macedo Filho";"Jóias"
"138";"138";"Maria Helena Carvalho";"Beleza"
"139";"139";"Raul Reis";"Casa"
"140";"140";"Ana Clara Pereira";"Crianças"
"141";"141";"Pietro Martins";"Mercearia"
"142";"142";"Marcelo Moreira Filho";"Livros"
"143";"143";"Talita Saraiva";"Beleza"
"144";"144";"Leonardo Moreira";"Crianças"
"145";"145";"Sílvia Pereira";"Bebê"
"146";"146";"Pablo Nogueira";"Sapatos"
"147";"147";"Dr. Gúbio Oliveira";"Bebê"
"148";"148";"Isabel Oliveira";"Industrial"
"149";"149";"Aline Barros";"Mercearia"
"150";"150";"Davi Lucca Moraes";"Eletrônicos"
"151";"151";"Eduardo Melo";"Música"
"152";"152";"Ana Júlia Nogueira";"Jogos"
"153";"153";"Rebeca Moraes";"Mercearia"
"154";"154";"Enzo Gabriel Reis";"Jardim"
"155";"155";"Hugo Macedo";"Brinquedos"
"156";"156";"Gabriel Pereira";"Música"
"157";"157";"Célia Silva";"Bebê"
"158";"158";"Ricardo Carvalho";"Jóias"
"159";"159";"Rafael Santos";"Sapatos"
"160";"160";"Lavínia Oliveira";"Filmes"
"161";"161";"Félix Melo Jr.";"Crianças"
"162";"162";"Pedro Nogueira";"Automotivo"
"163";"163";"Sra. Ana Clara Souza";"Música"
"164";"164";"Beatriz Saraiva";"Esportes"
"165";"165";"Caio Reis";"Bebê"
"166";"166";"Larissa Moraes";"Bebê"
"167";"167";"Isis Saraiva";"Jogos"
"168";"168";"Sra. Lorena Silva";"Beleza"
"169";"169";"Emanuelly Melo";"Música"
"170";"170";"Hugo Xavier";"Brinquedos"
"171";"171";"Yuri Barros";"Mercearia"
"172";"172";"Fábio Barros";"Jogos"
"173";"173";"Enzo Albuquerque";"Ferramentas"
"174";"174";"Cecília Braga";"Saúde"
"175";"175";"Cauã Oliveira";"Esportes"
"176";"176";"Isabel Xavier";"Crianças"
"177";"177";"Deneval Souza";"Jogos"
"178";"178";"Clara Santos";"Roupas"
"179";"179";"Natália Braga";"Automotivo"
"180";"180";"Mércia Batista";"Jóias"
"181";"181";"Júlio César Silva";"Jardim"
"182";"182";"Sr. Danilo Oliveira";"Automotivo"
"183";"183";"Roberta Barros";"Crianças"
"184";"184";"Murilo Braga";"Esportes"
"185";"185";"Nataniel Costa";"Jóias"
"186";"186";"Gabriel Souza Filho";"Sapatos"
"187";"187";"Ana Laura Franco";"Sapatos"
"188";"188";"Lívia Batista";"Música"
"189";"189";"Yago Franco";"Brinquedos"
"190";"190";"Valentina Pereira";"Mercearia"
"191";"191";"Carlos Costa";"Industrial"
"192";"192";"Srta. Dalila Moreira";"Ferramentas"
"193";"193";"Danilo Moraes";"Beleza"
"194";"194";"Marina Saraiva";"Crianças"
"195";"195";"Raul Barros";"Jardim"
"196";"196";"Deneval Batista";"Filmes"
"197";"197";"João Miguel Reis";"Roupas"
"198";"198";"Roberta Saraiva Neto";"Jardim"
"199";"199";"César Braga";"Mercearia"
"200";"200";"Bruna Franco";"Turismo"
"201";"201";"Henrique Xavier";"Casa"
"202";"202";"Sra. Heloísa Silva";"Eletrônicos"
"203";"203";"Deneval Silva";"Computadores"
"204";"204";"Hugo Braga";"Turismo"
"205";"205";"Vicente Moreira";"Jogos"
"206";"206";"Dra. Marina Oliveira";"Saúde"
"207";"207";"Ana Laura Reis";"Industrial"
"208";"208";"Eduardo Macedo";"Mercearia"
"209";"209";"Júlio César Silva";"Beleza"
"210";"210";"Isabella Nogueira";"Bebê"
"211";"211";"Murilo Carvalho";"Industrial"
"212";"212";"Sophia Franco";"Automotivo"
"213";"213";"Dr. João Lucas Franco";"Eletrônicos"
"214";"214";"Janaína Carvalho Filho";"Música"
"215";"215";"Lorenzo Barros";"Automotivo"
"216";"216";"Roberto Franco";"Livros"
"217";"217";"Théo Costa";"Bebê"
"218";"218";"Isis Souza";"Mercearia"
"219";"219";"Davi Lucca Oliveira";"Computadores"
"220";"220";"Arthur Macedo";"Roupas"
"221";"221";"Márcia Reis";"Automotivo"
"222";"222";"Maria Moreira";"Jardim"
"223";"223";"Lívia Nogueira";"Brinquedos"
"224";"224";"Dra. Karla Moreira";"Filmes"
"225";"225";"Natália Carvalho Jr.";"Computadores"
"226";"226";"Nicolas Saraiva";"Sapatos"
"227";"227";"Théo Souza Neto";"Saúde"
"228";"228";"Isabela Moreira";"Jardim"
"229";"229";"Paula Melo";"Brinquedos"
"230";"230";"Dra. Maria Alice Braga";"Crianças"
"231";"231";"Sra. Valentina Costa";"Filmes"
"232";"232";"Ricardo Carvalho";"Filmes"
"233";"233";"Meire Xavier";"Jóias"
"234";"234";"Cauã Carvalho";"Computadores"
"235";"235";"Sr. Rafael Reis";"Esportes"
"236";"236";"Giovanna Moreira";"Computadores"
"237";"237";"Dalila Pereira";"Roupas"
"238";"238";"Lorraine Santos";"Ferramentas"
"239";"239";"Felipe Souza Neto";"Esportes"
"240";"240";"Esther Franco";"Jóias"
"241";"241";"Morgana Braga";"Casa"
"242";"242";"Isaac Reis";"Jóias"
"243";"243";"João Pedro Pereira";"Saúde"
"244";"244";"Lara Melo";"Bebê"
"245";"245";"Melissa Batista";"Industrial"
"246";"246";"Théo Silva";"Sapatos"
"247";"247";"Ana Luiza Melo";"Roupas"
"248";"248";"Dr. Norberto Saraiva";"Saúde"
"249";"249";"Lavínia Moreira";"Casa"
"250";"250";"Mércia Moreira";"Ferramentas"
"251";"251";"Washington Moraes";"Brinquedos"
"252";"252";"Sr. Víctor Albuquerque";"Turismo"
"253";"253";"Giovanna Souza";"Beleza"
"254";"254";"Marcelo Xavier";"Industrial"
"255";"255";"Antônio Franco";"Mercearia"
"256";"256";"Marli Martins Filho";"Música"
"257";"257";"Felícia Franco Jr.";"Computadores"
"258";"258";"Natália Santos";"Jardim"
"259";"259";"Maria Clara Santos";"Música"
"260";"260";"Tertuliano Saraiva";"Saúde"
"261";"261";"Joaquim Albuquerque";"Casa"
"262";"262";"Célia Silva";"Roupas"
"263";"263";"Enzo Gabriel Batista";"Crianças"
"264";"264";"Alessandro Martins";"Brinquedos"
"265";"265";"Suélen Silva";"Música"
"266";"266";"Dr. Emanuel Moraes";"Brinquedos"
"267";"267";"Felipe Nogueira";"Automotivo"
"268";"268";"Bernardo Albuquerque";"Industrial"
"269";"269";"Paulo Macedo";"Automotivo"
"270";"270";"Emanuelly Carvalho";"Automotivo"
"271";"271";"Srta. Fabrícia Souza";"Livros"
"272";"272";"Théo Silva";"Jardim"
"273";"273";"Murilo Nogueira";"Industrial"
"274";"274";"Liz Nogueira Jr.";"Saúde"
"275";"275";"Isaac Costa Jr.";"Jardim"
"276";"276";"Maria Helena Xavier";"Mercearia"
"277";"277";"Larissa Saraiva";"Brinquedos"
"278";"278";"Maria Helena Pereira";"Casa"
"279";"279";"Lívia Nogueira";"Saúde"
"280";"280";"Pedro Henrique Franco Jr.";"Casa"
"281";"281";"Laura Melo";"Livros"
"282";"282";"Alessandro Macedo";"Saúde"
"283";"283";"Heitor Silva";"Ferramentas"
"284";"284";"Silas Barros";"Jóias"
"285";"285";"Gúbio Moreira";"Industrial"
"286";"286";"Warley Braga";"Filmes"
"287";"287";"João Lucas Santos";"Música"
"288";"288";"Margarida Nogueira";"Jogos"
"289";"289";"Marcela Souza";"Jardim"
"290";"290";"Maria Cecília Silva";"Turismo"
"291";"291";"Marcelo Franco";"Saúde"
"292";"292";"Rafaela Melo";"Esportes"
"293";"293";"Breno Moreira";"Ferramentas"
"294";"294";"Breno Macedo";"Bebê"
"295";"295";"Nataniel Saraiva Filho";"Automotivo"
"296";"296";"Lavínia Saraiva";"Jardim"
"297";"297";"Beatriz Franco";"Jardim"
"298";"298";"Pedro Barros";"Eletrônicos"
"299";"299";"Rebeca Reis";"Brinquedos"
"300";"300";"Pedro Braga";"Turismo"
"301";"301";"Sara Souza";"Esportes"
"302";"302";"Lorraine Moreira";"Jóias"
"303";"303";"Lucca Santos";"Bebê"
"304";"304";"Norberto Macedo";"Brinquedos"
"305";"305";"Roberta Oliveira";"Jardim"
"306";"306";"Pablo Santos";"Brinquedos"
"307";"307";"Isis Saraiva";"Mercearia"
"308";"308";"Bryan Braga";"Filmes"
"309";"309";"Benjamin Costa";"Roupas"
"310";"310";"Paulo Melo Neto";"Eletrônicos"
"311";"311";"Matheus Albuquerque";"Filmes"
"312";"312";"Carlos Franco";"Brinquedos"
"313";"313";"Deneval Pereira Jr.";"Esportes"
"314";"314";"Gustavo Silva";"Bebê"
"315";"315";"Pablo Barros";"Computadores"
"316";"316";"Emanuelly Macedo";"Roupas"
"317";"317";"Ricardo Silva";"Saúde"
"318";"318";"Júlio César Franco";"Saúde"
"319";"319";"Clara Silva Jr.";"Jogos"
"320";"320";"Vitor Souza";"Filmes"
"321";"321";"Davi Lucca Saraiva";"Mercearia"
"322";"322";"Antônio Macedo";"Música"
"323";"323";"Kléber Albuquerque";"Esportes"
"324";"324";"Hélio Oliveira";"Turismo"
"325";"325";"César Martins";"Computadores"
"326";"326";"Ana Júlia Albuquerque";"Jóias"
"327";"327";"Frederico Pereira";"Roupas"
"328";"328";"Isabel Santos";"Saúde"
"329";"329";"Calebe Braga";"Eletrônicos"
"330";"330";"Ana Clara Oliveira";"Livros"
"331";"331";"Carlos Xavier";"Crianças"
"332";"332";"Morgana Moraes";"Casa"
"333";"333";"Dr. Elísio Franco";"Filmes"
"334";"334";"Júlio César Costa Neto";"Jardim"
"335";"335";"Pedro Henrique Saraiva Neto";"Computadores"
"336";"336";"Laura Moraes";"Ferramentas"
"337";"337";"Maria Helena Barros";"Jogos"
"338";"338";"Júlio Moraes";"Casa"
"339";"339";"Marli Xavier";"Computadores"
"340";"340";"Matheus Martins Neto";"Mercearia"
"341";"341";"Rafael Silva";"Mercearia"
"342";"342";"Janaína Martins";"Automotivo"
"343";"343";"Sr. João Miguel Moraes";"Casa"
"344";"344";"João Moraes";"Brinquedos"
"345";"345";"Aline Macedo";"Esportes"
"346";"346";"Eloá Santos";"Música"
"347";"347";"Dr. Norberto Carvalho";"Automotivo"
"348";"348";"Lorena Martins";"Brinquedos"
"349";"349";"Melissa Oliveira";"Crianças"
"350";"350";"Heloísa Macedo";"Ferramentas"
"351";"351";"Yasmin Xavier";"Mercearia"
"352";"352";"Tertuliano Moreira";"Beleza"
"353";"353";"Carlos Costa";"Casa"
"354";"354";"Breno Reis";"Mercearia"
"355";"355";"Deneval Moreira";"Beleza"
"356";"356";"Isaac Pereira";"Crianças"
"357";"357";"Meire Martins";"Jóias"
"358";"358";"Lorenzo Santos";"Sapatos"
"359";"359";"Fábio Barros";"Automotivo"
"360";"360";"Antônio Nogueira";"Jóias"
"361";"361";"Esther Moreira";"Música"
"362";"362";"Norberto Pereira";"Saúde"
"363";"363";"Benício Pereira";"Saúde"
"364";"364";"Murilo Silva Jr.";"Industrial"
"365";"365";"Emanuelly Costa";"Ferramentas"
"366";"366";"Maria Clara Carvalho";"Bebê"
"367";"367";"Warley Batista";"Jardim"
"368";"368";"Karla Moreira";"Música"
"369";"369";"Maria Eduarda Xavier";"Crianças"
"370";"370";"Sra. Marcela Martins";"Eletrônicos"
"371";"371";"Antonella Macedo";"Computadores"
"372";"372";"Gúbio Carvalho";"Roupas"
"373";"373";"Elísio Souza";"Mercearia"
"374";"374";"Isabella Batista";"Bebê"
"375";"375";"Cauã Reis";"Bebê"
"376";"376";"Mariana Carvalho";"Industrial"
"377";"377";"Fábio Saraiva";"Eletrônicos"
"378";"378";"César Braga";"Computadores"
"379";"379";"Yasmin Moreira Neto";"Brinquedos"
"380";"380";"Frederico Souza";"Jóias"
"381";"381";"Lavínia Costa";"Jardim"
"382";"382";"Arthur Oliveira";"Automotivo"
"383";"383";"Maria Eduarda Silva";"Industrial"
"384";"384";"Marcos Batista";"Sapatos"
"385";"385";"Noah Melo";"Sapatos"
"386";"386";"Feliciano Pereira";"Ferramentas"
"387";"387";"Norberto Franco";"Esportes"
"388";"388";"Eduardo Macedo Filho";"Turismo"
"389";"389";"Alícia Oliveira";"Roupas"
"390";"390";"Sra. Célia Braga";"Jóias"
"391";"391";"Elisa Franco";"Brinquedos"
"392";"392";"Roberto Saraiva Neto";"Beleza"
"393";"393";"Ana Laura Souza";"Jogos"
"394";"394";"Maria Martins";"Roupas"
"395";"395";"Raul Pereira";"Jardim"
"396";"396";"Murilo Albuquerque";"Casa"
"397";"397";"Heloísa Silva";"Sapatos"
"398";"398";"Paula Moreira";"Eletrônicos"
"399";"399";"Théo Batista";"Jóias"
"400";"400";"Lavínia Albuquerque";"Bebê"
"401";"401";"Washington Moreira";"Jóias"
"402";"402";"Dra. Luiza Batista";"Computadores"
"403";"403";"Manuela Souza";"Eletrônicos"
"404";"404";"Suélen Moraes";"Saúde"
"405";"405";"Joaquim Franco";"Bebê"
"406";"406";"Nicolas Reis";"Filmes"
"407";"407";"Rebeca Moreira";"Jóias"
"408";"408";"Washington Braga";"Beleza"
"409";"409";"Ricardo Oliveira";"Saúde"
"410";"410";"César Santos";"Bebê"
"411";"411";"Clara Oliveira";"Saúde"
"412";"412";"Fabiano Albuquerque";"Jogos"
"413";"413";"Roberto Melo";"Roupas"
"414";"414";"Beatriz Pereira";"Livros"
"415";"415";"Pietro Melo";"Saúde"
"416";"416";"Arthur Oliveira";"Filmes"
"417";"417";"Manuela Martins";"Casa"
"418";"418";"Dra. Yasmin Santos";"Bebê"
"419";"419";"Sílvia Moreira";"Jogos"
"420";"420";"Joaquim Costa";"Eletrônicos"
"421";"421";"Valentina Moreira";"Crianças"
"422";"422";"Frederico Batista";"Esportes"
"423";"423";"Talita Nogueira";"Jardim"
"424";"424";"Caio Melo";"Crianças"
"425";"425";"Talita Martins";"Jóias"
"426";"426";"Alícia Braga";"Brinquedos"
"427";"427";"Pedro Moreira";"Casa"
"428";"428";"Vitória Reis";"Esportes"
"429";"429";"Benjamin Oliveira";"Casa"
"430";"430";"Júlia Melo";"Beleza"
"431";"431";"Elísio Martins";"Filmes"
"432";"432";"João Macedo Filho";"Música"
"433";"433";"Dr. Pietro Melo";"Beleza"
"434";"434";"Lorraine Reis";"Bebê"
"435";"435";"Karla Braga";"Filmes"
"436";"436";"Luiza Silva Jr.";"Turismo"
"437";"437";"Lorena Braga";"Computadores"
"438";"438";"Marcelo Martins";"Eletrônicos"
"439";"439";"Alícia Santos";"Turismo"
"440";"440";"Ana Clara Macedo";"Mercearia"
"441";"441";"Margarida Costa";"Jóias"
"442";"442";"Sra. Elisa Moreira";"Brinquedos"
"443";"443";"Eloá Batista";"Industrial"
"444";"444";"Roberta Franco";"Jardim"
"445";"445";"Maria Alice Reis Jr.";"Jóias"
"446";"446";"Miguel Oliveira";"Brinquedos"
"447";"447";"Gúbio Nogueira";"Industrial"
"448";"448";"Alessandra Franco";"Mercearia"
"449";"449";"Silas Franco";"Livros"
"450";"450";"Marina Moraes";"Automotivo"
"451";"451";"Luiza Costa";"Bebê"
"452";"452";"Maitê Nogueira";"Brinquedos"
"453";"453";"Sirineu Moreira";"Música"
"454";"454";"Elísio Moraes";"Bebê"
"455";"455";"Guilherme Reis Jr.";"Jóias"
"456";"456";"Pedro Barros";"Automotivo"
"457";"457";"Júlio César Martins";"Ferramentas"
"458";"458";"Ricardo Carvalho";"Crianças"
"459";"459";"Cecília Silva";"Bebê"
"460";"460";"Dr. Lucca Carvalho";"Jóias"
"461";"461";"Ana Luiza Macedo";"Jardim"
"462";"462";"Dra. Maria Júlia Souza";"Filmes"
"463";"463";"Manuela Santos";"Livros"
"464";"464";"Maria Eduarda Santos";"Roupas"
"465";"465";"Valentina Oliveira";"Industrial"
"466";"466";"Isabela Moreira";"Casa"
"467";"467";"Yago Carvalho";"Filmes"
"468";"468";"Yango Franco";"Eletrônicos"
"469";"469";"Sr. Júlio Xavier";"Esportes"
"470";"470";"Gúbio Souza";"Beleza"
"471";"471";"Ana Laura Albuquerque";"Livros"
"472";"472";"Gael Reis";"Casa"
"473";"473";"Alessandra Franco";"Automotivo"
"474";"474";"Feliciano Batista";"Eletrônicos"
"475";"475";"Sirineu Souza";"Beleza"
"476";"476";"Maitê Saraiva";"Roupas"
"477";"477";"Danilo Carvalho";"Crianças"
"478";"478";"Gustavo Silva Neto";"Filmes"
"479";"479";"Ana Luiza Carvalho";"Livros"
"480";"480";"Dra. Yasmin Moraes";"Roupas"
"481";"481";"Isis Braga";"Computadores"
"482";"482";"Sra. Maria Eduarda Franco";"Bebê"
"483";"483";"Srta. Marina Melo";"Beleza"
"484";"484";"Lavínia Souza";"Industrial"
"485";"485";"Warley Reis";"Roupas"
"486";"486";"Feliciano Santos";"Roupas"
"487";"487";"Vitória Martins";"Computadores"
"488";"488";"Murilo Carvalho Filho";"Beleza"
"489";"489";"Giovanna Moraes";"Livros"
"490";"490";"Ofélia Franco";"Brinquedos"
"491";"491";"Marcelo Albuquerque";"Roupas"
"492";"492";"Silas Carvalho";"Brinquedos"
"493";"493";"Lavínia Silva";"Beleza"
"494";"494";"Mariana Batista Jr.";"Bebê"
"495";"495";"Lara Reis";"Jóias"
"496";"496";"Emanuelly Xavier";"Automotivo"
"497";"497";"Roberta Oliveira";"Jóias"
"498";"498";"Pietro Costa";"Casa"
"499";"499";"Maria Eduarda Albuquerque Filho";"Esportes"
"500";"500";"Giovanna Pereira";"Crianças"
"501";"501";"Dr. Benjamin Braga";"Casa"
"502";"502";"Isabela Saraiva";"Jardim"
"503";"503";"Heitor Moreira";"Música"
"504";"504";"Laura Batista";"Casa"
"505";"505";"Yuri Franco";"Jóias"
"506";"506";"Heitor Reis";"Jardim"
"507";"507";"Rafaela Reis";"Casa"
"508";"508";"Bryan Moreira";"Eletrônicos"
"509";"509";"Margarida Costa";"Livros"
"510";"510";"Marli Moreira";"Brinquedos"
"511";"511";"Cauã Melo";"Esportes"
"512";"512";"Sophia Macedo";"Saúde"
"513";"513";"Srta. Maria Alice Santos";"Eletrônicos"
"514";"514";"Gabriel Franco";"Casa"
"515";"515";"Davi Lucca Albuquerque";"Sapatos"
"516";"516";"Sara Martins";"Casa"
"517";"517";"Sr. Hugo Pereira";"Turismo"
"518";"518";"Dr. Pietro Albuquerque";"Beleza"
"519";"519";"Leonardo Carvalho";"Jóias"
"520";"520";"Norberto Santos";"Jardim"
"521";"521";"Caio Melo";"Brinquedos"
"522";"522";"Larissa Pereira";"Sapatos"
"523";"523";"Raul Xavier";"Esportes"
"524";"524";"Lívia Moreira";"Jóias"
"525";"525";"Davi Lucca Pereira";"Crianças"
"526";"526";"Fabrício Pereira";"Esportes"
"527";"527";"Marina Saraiva";"Casa"
"528";"528";"Isabela Melo";"Livros"
"529";"529";"Ana Júlia Carvalho";"Automotivo"
"530";"530";"Ana Laura Nogueira";"Jóias"
"531";"531";"Pablo Carvalho";"Automotivo"
"532";"532";"Mariana Xavier";"Bebê"
"533";"533";"Manuela Barros";"Jogos"
"534";"534";"Benjamin Martins";"Bebê"
"535";"535";"Vitor Martins";"Turismo"
"536";"536";"Clara Carvalho";"Eletrônicos"
"537";"537";"Roberta Costa";"Crianças"
"538";"538";"Natália Franco";"Roupas"
"539";"539";"Emanuelly Silva";"Mercearia"
"540";"540";"Isaac Melo";"Roupas"
"541";"541";"Miguel Batista";"Ferramentas"
"542";"542";"Clara Batista Filho";"Industrial"
"543";"543";"Samuel Martins";"Eletrônicos"
"544";"544";"Janaína Pereira";"Jardim"
"545";"545";"Dra. Lorena Carvalho";"Livros"
"546";"546";"Lívia Martins Filho";"Mercearia"
"547";"547";"Núbia Macedo";"Eletrônicos"
"548";"548";"Murilo Martins";"Jardim"
"549";"549";"Pedro Henrique Moreira";"Crianças"
"550";"550";"Gabriel Martins";"Casa"
"551";"551";"Sra. Dalila Franco";"Jóias"
"552";"552";"Washington Macedo";"Jardim"
"553";"553";"Noah Moraes";"Sapatos"
"554";"554";"Sara Pereira";"Beleza"
"555";"555";"Bernardo Santos";"Ferramentas"
"556";"556";"Larissa Oliveira";"Ferramentas"
"557";"557";"Janaína Martins";"Turismo"
"558";"558";"Roberto Martins";"Computadores"
"559";"559";"Alessandro Nogueira";"Bebê"
"560";"560";"Lavínia Xavier";"Mercearia"
"561";"561";"Dr. Davi Lucca Martins";"Roupas"
"562";"562";"Sara Reis";"Roupas"
"563";"563";"Larissa Xavier";"Roupas"
"564";"564";"João Miguel Moreira";"Saúde"
"565";"565";"Suélen Albuquerque";"Música"
"566";"566";"Maria Cecília Pereira";"Música"
"567";"567";"Carla Carvalho";"Mercearia"
"568";"568";"Morgana Oliveira";"Brinquedos"
"569";"569";"Leonardo Melo";"Casa"
"570";"570";"Antônio Macedo Filho";"Industrial"
"571";"571";"Ana Júlia Oliveira";"Automotivo"
"572";"572";"Sr. Warley Albuquerque";"Computadores"
"573";"573";"João Pedro Martins";"Computadores"
"574";"574";"Vicente Martins";"Computadores"
"575";"575";"Benício Nogueira Neto";"Jóias"
"576";"576";"Félix Pereira";"Jardim"
"577";"577";"Eduardo Batista";"Jóias"
"578";"578";"Marcela Franco";"Jardim"
"579";"579";"Isabela Martins";"Livros"
"580";"580";"Fabiano Xavier";"Bebê"
"581";"581";"Murilo Nogueira";"Roupas"
"582";"582";"Sirineu Carvalho";"Mercearia"
"583";"583";"Matheus Nogueira";"Computadores"
"584";"584";"Paulo Barros";"Mercearia"
